바코드,브랜드,제조사,유통사,제품명,품목보고번호,품목유형
,,남양에프앤비주식회사,,ALL LIVE YOUNG WATER SPARKLING GRAFEFRUIT (올리브영워터 스파클링 자몽),20030473071214,탄산음료
,,남양에프앤비주식회사,,ALL LIVE YOUNG WATER SPARKLING LIME (올리브영워터 스파클링 라임),20030473071213,탄산음료
,,남양에프앤비주식회사,,HEYROO 청사과탄산,20030473071193,탄산음료
,,남양에프앤비주식회사,,HEYROO레몬탄산,20030473071162,탄산음료
,,남양에프앤비주식회사,,ONLY price 스파클링워터 천연라임향,20030473071329,탄산음료
,,남양에프앤비주식회사,,ONLY price 스파클링워터 천연레몬향,20030473071328,탄산음료
,,남양에프앤비주식회사,,SUNKIST 네버스탑,20030473071325,혼합음료
,,남양에프앤비주식회사,,Sunkist 요거트 스파클링,20030473071316,탄산음료
,,남양에프앤비주식회사,,Sunkist 요구르트 워터,20030473071308,유산균음료
,,남양에프앤비주식회사,,Sunkist 훼미리 알로에,20030473071279,혼합음료
,,남양에프앤비주식회사,,Sunkist 훼미리 토마토,20030473071284,과.채음료
,,남양에프앤비주식회사,,you us) 스파클링 요구르트,20030473071315,탄산음료
,,남양에프앤비주식회사,,갈배사이다,20030473071274,탄산음료
,,남양에프앤비주식회사,,갈아만든 배,20030473071278,과.채음료
,,남양에프앤비주식회사,,과일촌 아침에 사과,20030473071307,과.채음료
,,남양에프앤비주식회사,,구르미 만든 크림소다 그린메론,20030473071311,탄산음료
,,남양에프앤비주식회사,,구르미 만든 크림소다 블루레몬,20030473071252,탄산음료
,,남양에프앤비주식회사,,굿라이프 컬러에이드 블루,20030473071254,탄산음료
,,남양에프앤비주식회사,,굿라이프 컬러에이드 핑크,20030473071253,탄산음료
,,남양에프앤비주식회사,,나랑드사이다,20030473071103,탄산음료
,,남양에프앤비주식회사,,남양 at home 복숭아 속살,20030473071300,과.채음료
,,남양에프앤비주식회사,,남양 at home 사과,20030473071127,과.채주스
,,남양에프앤비주식회사,,남양 at home 오렌지,20030473071115,과.채음료
,,남양에프앤비주식회사,,남양 at home 제주감귤,20030473071133,과.채음료
,,남양에프앤비주식회사,,남양 at home포도,20030473071114,과.채주스
,,남양에프앤비주식회사,,남양 몸이 가벼워지는 시간 17차,20030473071229,액상차
,,남양에프앤비주식회사,,남양 요구리몽,20030473071215,혼합음료
,,남양에프앤비주식회사,,남양알로에 生,20030473071299,혼합음료
,,남양에프앤비주식회사,,남양참옥수수수염차,2003047307178,액상차
,,남양에프앤비주식회사,,뉴스쿨 리치스파클링,20030473071331,탄산음료
,,남양에프앤비주식회사,,뉴스쿨 청포도 스파클링,20030473071333,탄산음료
,,남양에프앤비주식회사,,뉴스쿨 피치 스파클링,20030473071324,탄산음료
,,남양에프앤비주식회사,,뉴스쿨 피치스파클링,20030473071332,탄산음료
,,남양에프앤비주식회사,,데미소다 애플,20030473071250,탄산음료
,,남양에프앤비주식회사,,데미소다 오렌지,20030473071334,탄산음료
,,남양에프앤비주식회사,,데미소다 자몽,20030473071249,탄산음료
,,남양에프앤비주식회사,,동원 보성홍차,20030473071314,액상차
,,남양에프앤비주식회사,,디라임톡,20030473071241,탄산음료
,,남양에프앤비주식회사,,디레몬톡,20030473071108,탄산음료
,,남양에프앤비주식회사,,디자몽톡,20030473071107,탄산음료
,,남양에프앤비주식회사,,디플레인톡,20030473071242,탄산수
,,남양에프앤비주식회사,,리얼에이드 자몽,20030473071283,과.채음료
,,남양에프앤비주식회사,,리얼에이드 자몽 in cafe,20030473071282,과.채음료
,,남양에프앤비주식회사,,리얼에이드 청포도 in cafe,20030473071281,과.채음료
,,남양에프앤비주식회사,,리치스파클링,20030473071264,탄산음료
,,남양에프앤비주식회사,,마이 멜로 옐로 by 써니텐,20030473071233,탄산음료
,,남양에프앤비주식회사,,마인드포인트,20030473071231,탄산음료
,,남양에프앤비주식회사,,맑은숨 오리엔탈,20030473071317,액상차
,,남양에프앤비주식회사,,몸에좋은 옥수수수염차,20030473071296,액상차
